"item"	"description"	"City"	"County"	"Local"	"School"	"Special"	"State"	"Total"	"Township"
"C30"	"Intergovernmental Revenue from State - General Local Government Support"	3647482	774355	4465017	NA	NA	NA	NA	43180
"C42"	"Intergovernmental Revenue from State - Health and Hospitals"	15565	75943	96315	NA	2157	NA	NA	2650
"C46"	"Intergovernmental Revenue from State - Highways"	416638	338054	788754	NA	1372	NA	NA	32690
"C50"	"Intergovernmental Revenue from State - Housing and Community Develop."	9210	965	27890	NA	17715	NA	NA	NA
"C79"	"Intergovernmental Revenue from State - Public Welfare"	49171	1362405	1412893	NA	NA	NA	NA	1317
"C80"	"Intergovernmental Revenue from State - Sewerage"	NA	NA	65250	NA	65250	NA	NA	NA
"C89"	"Intergovernmental Revenue from State - All Other"	205219	69433	445208	NA	167923	NA	NA	2633
"C91"	"Intergovernmental Revenue from State - Water Supply Systems"	11747	NA	11963	NA	216	NA	NA	NA
"C92"	"Intergovernmental Revenue from State - Electric Power Systems"	632	NA	632	NA	NA	NA	NA	NA
"C93"	"Intergovernmental Revenue from State - Gas Supply Systems"	26	NA	26	NA	NA	NA	NA	NA
"C94"	"Intergovernmental Revenue from State - Public Mass Transit Systems"	27755	4970	1203852	NA	1170854	NA	NA	273
"D21"	"Intergovernmental Revenue from Local - Education"	NA	NA	NA	356987	NA	43680	NA	NA
"D30"	"Intergovernmental Revenue from Local - General Support"	39	NA	NA	NA	NA	NA	NA	NA
"D42"	"Intergovernmental Revenue from Local - Health & Hospitals"	NA	878	NA	NA	12	NA	NA	576
"D46"	"Intergovernmental Revenue from Local - Highways"	NA	1510	NA	NA	18	89530	NA	22
"D50"	"Intergovernmental Revenue from Local - Housing and Community Development (NEW in 2007)"	NA	NA	NA	NA	21512	NA	NA	NA
"D79"	"Intergovernmental Revenue from Local - Public Welfare"	NA	NA	NA	NA	NA	243988	NA	NA
"D80"	"Intergovernmental Revenue from Local - Sewerage"	NA	NA	NA	NA	13565	NA	NA	NA
"D89"	"Intergovernmental Revenue from Local - All Other"	138349	106921	NA	NA	255805	23431	NA	5822
"D91"	"Intergovernmental Revenue from Local - Water Utilities"	NA	NA	NA	NA	190	NA	NA	NA
"D94"	"Intergovernmental Revenue from Local - Transit Utilities"	NA	NA	NA	NA	20893	NA	NA	NA
"E01"	"Current Operations - Air Transportation"	679698	4625	749851	NA	64843	13107	762958	685
"E03"	"Current Operations - Miscellaneous Commercial Activities, NEC"	11169	3	24251	NA	2576	NA	24251	10503
"E04"	"Current Operations - Correctional Institutions"	NA	626689	631186	NA	4497	1336307	1967493	NA
"E05"	"Current Operations - Corrections, Other"	NA	91264	91264	NA	NA	29518	120782	NA
"E12"	"Current Operations - Elementary & Secondary Education"	NA	NA	24704416	24704416	NA	NA	24704416	NA
"E16"	"Current Operations - Higher Education Auxiliary Enterprises"	NA	NA	167773	167773	NA	866717	1034490	NA
"E18"	"Current Operations - Other Higher Education"	NA	NA	2311218	2311218	NA	5269927	7581145	NA
"E21"	"Current Operations - Other Education"	NA	NA	NA	NA	NA	476600	476600	NA
"E22"	"Current Operations - Social Insurance Administration"	NA	NA	NA	NA	NA	50777	50777	NA
"E23"	"Current Operations - Financial Administration"	489852	181448	764443	NA	NA	1294017	2058460	93143
"E24"	"Current Operations - Local Fire Protection"	1909621	37	2537887	NA	627705	NA	2537887	524
"E25"	"Current Operations - Judicial and Legal Services"	32178	917798	949979	NA	NA	556586	1506565	3
"E29"	"Current Operations - Central Staff Services"	989608	347935	1449596	NA	NA	77281	1526877	112053
"E31"	"Current Operations - General Public Buildings"	344394	80242	433032	NA	NA	14154	447186	8396
"E32"	"Current Operations - Health Services, Other"	164150	749328	943490	NA	16328	1094209	2037699	13684
"E36"	"Current Operations - Own Hospitals"	262469	1565013	2284648	NA	457166	875965	3160613	NA
"E44"	"Current Operations - Regular Highways"	1414100	362861	2154433	NA	111785	761979	2916412	265687
"E45"	"Current Operations - Toll Highways"	NA	NA	NA	NA	NA	335273	335273	NA
"E50"	"Current Operations - Housing & Community Development"	300444	15886	1605086	NA	1287792	222836	1827922	964
"E52"	"Current Operations - Libraries"	400772	NA	727632	NA	325318	4827	732459	1542
"E59"	"Current Operations - Natural Resources, Other"	151	292897	438767	NA	145719	177180	615947	NA
"E60"	"Current Operations – Parking Facilities (NEW for 2005)"	40913	120	41912	NA	731	NA	41912	148
"E61"	"Current Operations - Parks & Recreation"	455194	141971	2309659	NA	1703276	66100	2375759	9218
"E62"	"Current Operations - Police Protection"	4037841	676094	4716405	NA	1475	390325	5106730	995
"E66"	"Current Operations - Protective Inspection and Regulation, NEC"	94607	20153	114760	NA	NA	145661	260421	NA
"E74"	"Current Operations - Welfare, Vendor Payments for Medical Care"	NA	NA	NA	NA	NA	16226102	16226102	NA
"E75"	"Current Operations - Welfare, Vendor Payments for Other Purposes"	NA	12012	12083	NA	NA	3039280	3051363	71
"E77"	"Current Operations - Welfare Institutions"	NA	2584	2597	NA	NA	94313	96910	13
"E79"	"Current Operations - Welfare, Other"	355985	157806	566468	NA	NA	2593857	3160325	52677
"E80"	"Current Operations - Sewerage"	395850	62398	962155	NA	503480	NA	962155	427
"E81"	"Current Operations - Solid Waste Management"	415136	7439	431457	NA	8816	7844	439301	66
"E85"	"Current Operations - Other Veterans Services"	NA	NA	NA	NA	NA	10011	10011	NA
"E87"	"Current Operations - Sea and Inland Port Facilities"	NA	NA	6517	NA	6517	NA	6517	NA
"E89"	"Current Operations - General, Other"	2189781	586350	2987744	NA	140322	4386827	7374571	71291
"E91"	"Current Operations - Water Utilities"	1762486	NA	1851591	NA	83578	NA	1851591	5527
"E92"	"Current Operations - Electric Utilities"	732908	NA	978983	NA	246075	5171	984154	NA
"E93"	"Current Operations - Gas Utilities"	50145	NA	63184	NA	13039	NA	63184	NA
"E94"	"Current Operations - Transit Utilities"	32676	NA	3081164	NA	3048488	NA	3081164	NA
"F01"	"Construction - Air Transportation"	600754	NA	633943	NA	33189	18596	652539	NA
"F03"	"Construction - Miscellaneous Commercial Activities, NEC"	NA	NA	30	NA	30	NA	30	NA
"F04"	"Construction - Correctional Institutions"	NA	8872	9025	NA	153	11684	20709	NA
"F12"	"Construction - Elementary & Secondary Education"	NA	NA	1551223	1551223	NA	NA	1551223	NA
"F16"	"Construction - Higher Education, Auxiliary Enterprises"	NA	NA	NA	NA	NA	38861	38861	NA
"F18"	"Construction - Higher Education, Other"	NA	NA	198839	198839	NA	174586	373425	NA
"F21"	"Construction - Education, Other"	NA	NA	NA	NA	NA	2640	2640	NA
"F23"	"Construction - Financial Administration"	6500	555	7398	NA	NA	203	7601	343
"F24"	"Construction - Local Fire Protection"	12103	NA	21773	NA	9430	NA	21773	240
"F25"	"Construction - Judicial & Legal"	NA	263	263	NA	NA	3	266	NA
"F29"	"Construction - Central Staff Services"	78461	7110	87604	NA	NA	2334	89938	2033
"F31"	"Construction - General Public Buildings"	2151	91275	93426	NA	NA	29565	122991	NA
"F32"	"Construction - Health, Other"	428	1228	1663	NA	7	3632	5295	NA
"F36"	"Construction - Own Hospitals"	560	NA	6926	NA	6366	30902	37828	NA
"F44"	"Construction - Regular Highways"	655746	173737	836622	NA	56	2246372	3082994	7083
"F45"	"Construction - Toll Highways"	NA	NA	NA	NA	NA	2535673	2535673	NA
"F50"	"Construction - Housing & Community Development"	25063	2447	202626	NA	175116	NA	202626	NA
"F52"	"Construction - Libraries"	15651	NA	35553	NA	19902	NA	35553	NA
"F59"	"Construction - Natural Resources, Other"	118	10890	34843	NA	23835	1468	36311	NA
"F60"	"Construction – Parking Facilities (NEW for 2005)"	12820	113	12946	NA	NA	NA	12946	13
"F61"	"Construction - Parks & Recreation"	13465	269	486891	NA	472758	8836	495727	399
"F62"	"Construction - Police Protection"	26702	16142	42844	NA	NA	442	43286	NA
"F77"	"Construction - Welfare Institutions"	NA	946	946	NA	NA	4	950	NA
"F79"	"Construction - Welfare, Other"	263	991	1672	NA	NA	1767	3439	418
"F80"	"Construction - Sewerage"	287737	NA	572007	NA	284270	NA	572007	NA
"F81"	"Construction - Solid Waste Management"	112845	1575	114531	NA	111	NA	114531	NA
"F85"	"Construction - Other Veterans Services"	NA	NA	NA	NA	NA	873	873	NA
"F89"	"Construction - General"	212710	3032	368784	NA	153036	22494	391278	6
"F91"	"Construction - Water Utilities"	431754	NA	439603	NA	7405	NA	439603	444
"F92"	"Construction - Electric Utilities"	NA	NA	2672	NA	2672	NA	2672	NA
"F94"	"Construction - Transit Utilities"	NA	NA	798962	NA	798962	NA	798962	NA
"G01"	"Other Capital Outlay - Air Transportation"	6593	NA	22467	NA	15874	3258	25725	NA
"G03"	"Other Capital Outlay - Miscellaneous Commercial Activities, NEC"	NA	NA	16	NA	16	NA	16	NA
"G04"	"Other Capital Outlay - Correctional Institutions"	7	1773	2008	NA	228	2204	4212	NA
"G05"	"Other Capital Outlay - Corrections, Other"	NA	NA	NA	NA	NA	672	672	NA
"G12"	"Other Capital Outlay - Elementary and Secondary Education"	NA	NA	334566	334566	NA	NA	334566	NA
"G16"	"Other Capital Outlay - Higher Education, Auxiliary Enterprises"	NA	NA	70	70	NA	5604	5674	NA
"G18"	"Other Capital Outlay - Other Higher Education"	NA	NA	47474	47474	NA	118911	166385	NA
"G21"	"Other Capital Outlay - Education, Other"	NA	NA	NA	NA	NA	2851	2851	NA
"G22"	"Other Capital Outlay - Social Insurance Administration"	NA	NA	NA	NA	NA	1	1	NA
"G23"	"Other Capital Outlay - Financial Administration"	8	NA	286	NA	NA	14956	15242	278
"G24"	"Other Capital Outlay - Local Fire Protection"	29979	NA	94105	NA	64108	NA	94105	18
"G25"	"Other Capital Outlay - Judicial"	3	NA	3	NA	NA	1708	1711	NA
"G29"	"Other Capital Outlay - Central Staff"	341418	26447	379870	NA	NA	1805	381675	12005
"G31"	"Other Capital Outlay - General Public Building"	802	NA	802	NA	NA	26683	27485	NA
"G32"	"Other Capital Outlay - Health - Other"	146	334	1594	NA	1055	1285	2879	59
"G36"	"Other Capital Outlay - Own Hospitals"	1250	1114	19777	NA	17413	5726	25503	NA
"G44"	"Other Capital Outlay - Regular Highways"	218465	59072	318344	NA	NA	63257	381601	40807
"G45"	"Other Capital Outlay - Toll Highways"	NA	NA	NA	NA	NA	95450	95450	NA
"G50"	"Other Capital Outlay - Housing & Community Development"	19322	459	74432	NA	54452	NA	74432	199
"G52"	"Other Capital Outlay - Libraries"	11240	NA	45395	NA	34155	20	45415	NA
"G59"	"Other Capital Outlay - Natural Resource - Other"	1941	7397	22765	NA	12632	7642	30407	795
"G60"	"Other Capital Outlay – Parking Facilities (NEW for 2005)"	20088	NA	20301	NA	NA	NA	20301	213
"G61"	"Other Capital Outlay - Parks & Recreation"	35973	3362	243291	NA	203148	1660	244951	808
"G62"	"Other Capital Outlay - Police Protection"	64446	22985	87492	NA	61	18386	105878	NA
"G66"	"Other Capital Outlay - Protective Inspection & Regulation, NEC"	2	NA	2	NA	NA	639	641	NA
"G77"	"Other Capital Outlay - Welfare Institutions"	NA	2426	2426	NA	NA	628	3054	NA
"G79"	"Other Capital Outlay - Welfare, Other"	2195	5215	8081	NA	248	2821	10902	423
"G80"	"Other Capital Outlay - Sewerage"	43455	1022	113427	NA	64678	18	113445	4272
"G81"	"Other Capital Outlay - Solid Waste Management"	69453	NA	69522	NA	69	NA	69522	NA
"G85"	"Other Capital Outlay - Other Veterans Services"	NA	NA	NA	NA	NA	2513	2513	NA
"G89"	"Other Capital Outlay - General, Other"	82312	62118	152631	NA	6847	10361	162992	1354
"G91"	"Other Capital Outlay - Water Utilities"	301017	NA	329283	NA	28069	NA	329283	197
"G92"	"Other Capital Outlay - Electric Utilities"	NA	NA	NA	NA	NA	10	10	NA
"G94"	"Other Capital Outlay - Transit Utilities"	NA	NA	372935	NA	372935	NA	372935	NA
"I89"	"Interest on General Debt"	1532782	268513	3465843	1069943	588887	3494857	6960700	5718
"I91"	"Water Utilities - Interest on Debt"	107898	NA	119567	NA	11669	NA	119567	NA
"I92"	"Electric Utilities - Interest on Debt"	NA	NA	77242	NA	77242	NA	77242	NA
"I94"	"Transit Utilities - Interest on Debt"	NA	NA	319517	NA	319517	NA	319517	NA
"J19"	"Assistance and Subsidies – Scholarships and Other Subsidies – Education (NEW for 2005; previously under E19)"	NA	NA	NA	NA	NA	1530962	1530962	NA
"J67"	"Assistance and Subsidies – Public Welfare, Federal Categorical Assistance Programs (NEW for 2005; previously under E67)"	NA	NA	NA	NA	NA	120733	120733	NA
"J68"	"Assistance and Subsidies – Public Welfare, Cash Assistance Programs, Other (NEW for 2005; previously under E68)"	NA	NA	NA	NA	NA	2843	2843	NA
"J85"	"Assistance and Subsidies - Veterans' Bonuses (NEW for 2005; previously under E84)"	NA	NA	NA	NA	NA	1016	1016	NA
"L23"	"? - Financial Administration"	NA	NA	10	NA	NA	NA	NA	10
"L44"	"? - Regular Highway"	NA	6	6	NA	NA	NA	NA	NA
"L50"	"? - Housing and Community Development"	NA	NA	39	NA	39	NA	NA	NA
"L59"	"? - Natural Resources - Other"	NA	NA	1	NA	1	NA	NA	NA
"L89"	"? - Other and Unallocable"	NA	NA	10	NA	10	NA	NA	NA
"M01"	"Intergovernmental to Local NEC - Air Transportation"	NA	NA	NA	NA	1215	38016	NA	NA
"M04"	"Intergovernmental to Local NEC – Correctional Institutions (NEW for 2005)"	NA	NA	NA	NA	NA	810	NA	NA
"M23"	"Intergovernmental to Local NEC - Financial Administration"	NA	NA	NA	NA	NA	NA	NA	52
"M24"	"Intergovernmental to Local NEC -"	NA	NA	NA	NA	2104	NA	NA	NA
"M25"	"Intergovernmental to Local NEC - Judicial and Legal"	NA	NA	NA	NA	NA	108252	NA	NA
"M29"	"Intergovernmental to Local NEC - Central Staff Services"	NA	NA	NA	NA	NA	1062	NA	NA
"M30"	"Intergovernmental to Local NEC - General Support"	NA	NA	NA	NA	NA	5249229	NA	NA
"M32"	"Intergovernmental to Local NEC - Health"	NA	NA	NA	NA	108	156950	NA	NA
"M36"	"Intergovernmental to Local NEC – Hospitals (NEW for 2005)"	NA	NA	NA	NA	139	NA	NA	NA
"M44"	"Intergovernmental to Local NEC - Regular Highways"	NA	21	NA	NA	191	651437	NA	NA
"M50"	"Intergovernmental to Local NEC - Housing & Community Development"	NA	NA	NA	NA	2999	36470	NA	NA
"M52"	"Intergovernmental to Local NEC - Libraries"	217	NA	NA	NA	42	20247	NA	NA
"M59"	"Intergovernmental to Local NEC - Natural Resources"	NA	313	NA	NA	925	51448	NA	NA
"M61"	"Intergovernmental to Local NEC - Parks & Recreation"	NA	NA	NA	NA	6449	193197	NA	NA
"M62"	"Intergovernmental to Local NEC - Police Protection"	NA	NA	NA	NA	NA	28063	NA	NA
"M66"	"Intergovernmental to Local NEC - Protective Inspection & Regulations"	NA	NA	NA	NA	NA	91080	NA	NA
"M67"	"Intergovernmental to Local NEC - Welfare, Categorical Assistance Programs"	NA	NA	NA	NA	NA	2405709	NA	NA
"M79"	"Intergovernmental to Local NEC - Welfare"	NA	NA	NA	NA	NA	391419	NA	NA
"M80"	"Intergovernmental to Local NEC - Sewerage"	NA	NA	NA	NA	9191	5190	NA	NA
"M81"	"Intergovernmental to Local NEC - Solid Waste Management"	NA	NA	NA	NA	1	1075	NA	NA
"M89"	"Intergovernmental to Local NEC - General"	73802	15756	NA	NA	4267	270002	NA	2400
"M91"	"Intergovernmental to Local NEC - Water Utilities"	NA	NA	NA	NA	40464	NA	NA	NA
"M94"	"Intergovernmental to Local NEC - Transit Utilities"	NA	NA	NA	NA	144071	1528332	NA	NA
"Q12"	"Intergovernmental to School District - Elementary and Secondary Education"	NA	NA	NA	NA	NA	9606574	NA	NA
"Q18"	"Intergovernmental to School District - Higher Education, Other"	NA	NA	NA	NA	NA	438704	NA	NA
"S89"	"Intergovernmental to Federal - General, Other"	NA	NA	NA	NA	NA	5763	5763	NA
"T01"	"Tax - Property"	4480537	2387928	28561414	18142112	2943645	63283	28624697	607192
"T09"	"Tax - General Sales"	993741	978825	3047937	NA	1075371	11363366	14411303	NA
"T10"	"Tax - Alcoholic Beverage Sales"	33137	37766	70903	NA	NA	294304	365207	NA
"T11"	"Tax - Amusement"	164062	40243	204305	NA	NA	835445	1039750	NA
"T12"	"Tax - Insurance Premiums"	5385	NA	5385	NA	NA	418582	423967	NA
"T13"	"Tax - Motor Fuels Sales"	53573	111103	164676	NA	NA	1348414	1513090	NA
"T14"	"Tax - Pari-mutuels"	592	NA	592	NA	NA	6131	6723	NA
"T15"	"Tax - Public Utilities"	990640	887	991530	NA	NA	1527274	2518804	3
"T16"	"Tax - Tobacco Sales"	23131	137717	160848	NA	NA	781528	942376	NA
"T19"	"Tax - Other Selective Sales"	1278880	101955	1539723	NA	157584	2054850	3594573	1304
"T20"	"Tax - Alcoholic Beverage License"	12211	320	12531	NA	NA	17021	29552	NA
"T21"	"Tax - Amusement License"	NA	NA	NA	NA	NA	15491	15491	NA
"T22"	"Tax - Corporation License"	NA	NA	NA	NA	NA	364482	364482	NA
"T23"	"Tax - Hunting & Fishing License"	NA	NA	NA	NA	NA	40808	40808	NA
"T24"	"Tax - Motor Vehicle License"	37578	3627	41205	NA	NA	1728151	1769356	NA
"T25"	"Tax - Motor Vehicle Operators License"	NA	NA	NA	NA	NA	114629	114629	NA
"T27"	"Tax - Public Utility License"	NA	NA	NA	NA	NA	18025	18025	NA
"T28"	"Tax - Occupation & Business License, NEC"	25960	NA	25960	NA	NA	465109	491069	NA
"T29"	"Tax - Other License"	472872	53282	535629	NA	8741	30267	565896	734
"T40"	"Tax - Individual Income"	NA	NA	NA	NA	NA	13256769	13256769	NA
"T41"	"Tax - Corporation Net Income"	NA	NA	NA	NA	NA	2877499	2877499	NA
"T50"	"Tax - Death & Gift"	NA	NA	NA	NA	NA	280940	280940	NA
"T51"	"Tax - Documentary & Stock Transfer"	281590	NA	281590	NA	NA	76555	358145	NA
"T99"	"Tax - NEC"	2949	20449	55109	NA	31153	NA	55109	558
"U01"	"Miscellaneous - Special Assessments"	517055	11	519241	NA	2175	NA	519241	NA
"U11"	"Miscellaneous - Property Sale Other"	10900	248	13032	NA	1883	237	13269	1
"U20"	"Miscellaneous - Interest Earnings"	175410	32021	373270	106854	56088	1668753	2042023	2897
"U30"	"Miscellaneous - Fines & Forfeits"	531416	128458	671418	NA	11237	132735	804153	307
"U40"	"Miscellaneous - Rents"	20632	NA	20656	NA	24	1242	21898	NA
"U41"	"Miscellaneous - Royalties"	NA	NA	3	NA	3	NA	3	NA
"U50"	"Miscellaneous - Donations From Private Sources"	2	1382	57138	55176	406	379383	436521	172
"U95"	"Miscellaneous - Net Lottery Revenue"	NA	NA	NA	NA	NA	1023846	1023846	NA
"U99"	"Miscellaneous - General Revenue, NEC"	553661	144101	1458005	400406	330482	1854756	3312761	29355
"W01"	"Sinking Fund - Cash & Deposits"	2895043	403270	5201799	1633829	269406	28923299	34125098	251
"W31"	"Bond Fund - Cash & Deposits"	1595484	386053	5098914	2496597	619390	2179255	7278169	1390
"W61"	"Other Funds - Cash & Deposits"	12743545	4588900	40105892	14766929	6940922	15410759	55516651	1065596
"X01"	"Employee Pensions Receipts - Local Employee Contribution"	747543	180613	1288949	242090	118685	3142218	4431167	18
"X30"	"DISCONTINUED as of 2012; Employee Pensions - Total Federal Securities"	1060058	492842	2832393	1027032	252451	10673730	13506123	10
"X40"	"DISCONTINUED as of 2002; see Z77 (Formerly: Employee Pensions - Securities - Corporate Bonds (Book Value))"	3000496	802686	5742310	1403989	534994	12886386	18628696	145
"X50"	"DISCONTINUED ??"	548862	142540	986339	187539	107388	1855824	2842163	10
"X62"	"DISCONTINUED ??"	97778	1135	126326	12186	15227	NA	126326	NA
"X71"	"DISCONTINUED ??"	NA	NA	NA	NA	NA	1083433	1083433	NA
"X80"	"DISCONTINUED ??"	92824	27443	147708	11253	16172	440112	587820	16
"Y01"	"Unemployment Compensation - Contribution"	NA	NA	NA	NA	NA	2140292	2140292	NA
"Y02"	"Unemployment Compensation - Interest Revenue"	NA	NA	NA	NA	NA	33900	33900	NA
"Y05"	"Unemployment Compensation - Benefit Payments"	NA	NA	NA	NA	NA	1922176	1922176	NA
"Y06"	"Unemployment Compensation - Extended & Special Payments"	NA	NA	NA	NA	NA	106	106	NA
"Y07"	"Unemployment Compensation - Balance In US Treasury"	NA	NA	NA	NA	NA	1535405	1535405	NA
"Y08"	"Unemployment Compensation - Other Balance (+ or-)"	NA	NA	NA	NA	NA	1535405	1535405	NA
"Y11"	"Workers Compensation - Other Contributions"	NA	NA	NA	NA	NA	51053	51053	NA
"Y12"	"Workers Compensation - Interest Earnings"	NA	NA	NA	NA	NA	228	228	NA
"Y14"	"Workers Compensation - Benefit Payments"	NA	NA	NA	NA	NA	43956	43956	NA
"Y21"	"Workers Compensation - Cash & Assets"	NA	NA	NA	NA	NA	66793	66793	NA
"Y52"	"Other Insurance Trust - Interest Revenue"	NA	NA	NA	NA	NA	12	12	NA
"Y53"	"Other Insurance Trust - Benefit Payment"	NA	NA	NA	NA	NA	185	185	NA
"Y61"	"Other Insurance Trust - Cash & Deposits"	NA	NA	NA	NA	NA	12914	12914	NA
"Z00"	"Total Salaries & Wages"	4231190	1554634	30432645	14867656	2995362	8263433	38696078	224701
"Z01"	"Number of Active Members"	20978480	9186801	44848489	10073058	4608895	121729798	166578287	1255
